question_id,question,question_type,ground_truth_url,retrieved_urls,generated_answer,reference_answer,mrr,latency_seconds,rouge_l,bert_score
40,What is a human fingernail?,multi_hop,https://en.wikipedia.org/wiki/Integrated_circuit,"['https://en.wikipedia.org/wiki/Interdigitation', 'https://en.wikipedia.org/wiki/American_anthropology', 'https://en.wikipedia.org/wiki/Anthropopoiesis', 'https://en.wikipedia.org/wiki/Atom', 'https://en.wikipedia.org/wiki/American_anthropology', 'https://en.wikipedia.org/wiki/Follicular_drug_delivery', 'https://en.wikipedia.org/wiki/American_anthropology', 'https://en.wikipedia.org/wiki/Anthroponymy', 'https://en.wikipedia.org/wiki/Medicine', 'https://en.wikipedia.org/wiki/Follicular_drug_delivery']",unanswerable,(4).,0.0,0.195,0.0,0.6064
41,When did Kafka begin writing Das Schloss?,factual,https://en.wikipedia.org/wiki/Franz_Kafka,"['https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Franz_Kafka']",1930,27 January 1922,1.0,0.135,0.0,0.6275
42,What is the difference between thin film and crystalline silicon?,comparative,https://en.wikipedia.org/wiki/Solar_cell,"['https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell', 'https://en.wikipedia.org/wiki/Solar_cell']",amorphous silicon,thin film panels are approximately twice as heavy,1.0,0.221,0.0,0.7199
43,Mexico has fully recognized same-sex marriage since what year?,inferential,https://en.wikipedia.org/wiki/Mexico,"['https://en.wikipedia.org/wiki/Mexico', 'https://en.wikipedia.org/wiki/Barack_Obama', 'https://en.wikipedia.org/wiki/Singapore', 'https://en.wikipedia.org/wiki/Mexico', 'https://en.wikipedia.org/wiki/S%C3%A3o_Paulo', 'https://en.wikipedia.org/wiki/Mexico', 'https://en.wikipedia.org/wiki/Mexico', 'https://en.wikipedia.org/wiki/Mexico', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/Mexico']",2022,2022,1.0,0.171,0.0063,0.6034
44,What was the name of the institute that Heisenberg was the sole director of?,multi_hop,https://en.wikipedia.org/wiki/Werner_Heisenberg,"['https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg']",Leipzig,Max-Planck-Institut für Physik und Astrophysik,1.0,0.212,0.0,0.5883
45,Who was the third head of the Stoic school?,factual,https://en.wikipedia.org/wiki/Stoicism,"['https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Socrates', 'https://en.wikipedia.org/wiki/Stoicism']",Chrysippus,Chrysippus of Soli,1.0,0.259,0.5,0.878
46,How many years did it take for Singapore's tennis team to become world champions?,comparative,https://en.wikipedia.org/wiki/Singapore,"['https://en.wikipedia.org/wiki/Singapore', 'https://en.wikipedia.org/wiki/Singapore', 'https://en.wikipedia.org/wiki/Paris', 'https://en.wikipedia.org/wiki/Apartheid', 'https://en.wikipedia.org/wiki/London', 'https://en.wikipedia.org/wiki/Sydney', 'https://en.wikipedia.org/wiki/Shanghai', 'https://en.wikipedia.org/wiki/Singapore', 'https://en.wikipedia.org/wiki/Singapore', 'https://en.wikipedia.org/wiki/South_Africa']",1,1,1.0,0.163,0.0,0.5184
47,Calculus can be used to calculate how quickly a drug is eliminated from a body or how quickly a cancerous tumor grows.?,inferential,https://en.wikipedia.org/wiki/Calculus,"['https://en.wikipedia.org/wiki/Calculus', 'https://en.wikipedia.org/wiki/Calculus', 'https://en.wikipedia.org/wiki/Calculus', 'https://en.wikipedia.org/wiki/Calculus', 'https://en.wikipedia.org/wiki/High_throughput_biology', 'https://en.wikipedia.org/wiki/Calculus', 'https://en.wikipedia.org/wiki/Confocal_endoscopy', 'https://en.wikipedia.org/wiki/Calculus', 'https://en.wikipedia.org/wiki/High_throughput_biology', 'https://en.wikipedia.org/wiki/Calculus']",in the realm of medicine,a tumor grows,1.0,0.255,0.0,0.6993
48,How many years after The First Weighing of Plutonium did Glenn T. Seaborg publish The First Weighing of Plutonium?,multi_hop,https://en.wikipedia.org/wiki/Glenn_T._Seaborg,"['https://en.wikipedia.org/wiki/Glenn_T._Seaborg', 'https://en.wikipedia.org/wiki/Glenn_T._Seaborg', 'https://en.wikipedia.org/wiki/Glenn_T._Seaborg', 'https://en.wikipedia.org/wiki/Periodic_table', 'https://en.wikipedia.org/wiki/Glenn_T._Seaborg', 'https://en.wikipedia.org/wiki/Glenn_T._Seaborg', 'https://en.wikipedia.org/wiki/Glenn_T._Seaborg', 'https://en.wikipedia.org/wiki/Glenn_T._Seaborg', 'https://en.wikipedia.org/wiki/Glenn_T._Seaborg', 'https://en.wikipedia.org/wiki/Marie_Curie']",1,2,1.0,0.182,0.0,0.4514
49,What did Antigonus attempt to expand his territory by attacking the other successor kingdoms?,factual,https://en.wikipedia.org/wiki/Ancient_Greece,"['https://en.wikipedia.org/wiki/Ancient_Greece', 'https://en.wikipedia.org/wiki/Ancient_Egypt', 'https://en.wikipedia.org/wiki/Ancient_Greece', 'https://en.wikipedia.org/wiki/Ancient_Greece', 'https://en.wikipedia.org/wiki/Ancient_Egypt', 'https://en.wikipedia.org/wiki/Ancient_Egypt', 'https://en.wikipedia.org/wiki/Ancient_Rome', 'https://en.wikipedia.org/wiki/Ancient_Greece', 'https://en.wikipedia.org/wiki/Ancient_Rome', 'https://en.wikipedia.org/wiki/Ancient_Rome']",Hellenistic kingdoms,Hellenistic kingdoms,1.0,0.232,1.0,1.0
50,How did Daniel Kottke feel about Steve Jobs?,inferential,https://en.wikipedia.org/wiki/Steve_Jobs,"['https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Apple_Inc.', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Steve_Jobs']",he rarely created trouble for me,(iii).,1.0,0.216,0.0,0.5733
51,Why was the monarchy overthrown?,inferential,https://en.wikipedia.org/wiki/United_Kingdom,"['https://en.wikipedia.org/wiki/American_Revolution', 'https://en.wikipedia.org/wiki/United_Kingdom', 'https://en.wikipedia.org/wiki/Russian_Revolution', 'https://en.wikipedia.org/wiki/Brazil', 'https://en.wikipedia.org/wiki/French_Revolution', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/American_Revolution', 'https://en.wikipedia.org/wiki/Egypt', 'https://en.wikipedia.org/wiki/Axis_powers']",The French Revolution,a series of connected wars,0.5,0.217,0.0,0.6821
52,What is the primary objective of chemical thermodynamics?,multi_hop,https://en.wikipedia.org/wiki/Thermodynamics,"['https://en.wikipedia.org/wiki/Thermodynamics', 'https://en.wikipedia.org/wiki/Thermodynamics', 'https://en.wikipedia.org/wiki/Thermodynamics', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Thermodynamics', 'https://en.wikipedia.org/wiki/Thermodynamics', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy', 'https://en.wikipedia.org/wiki/Entropy']",to measure the temperature of water,determine the spontaneity of a gi,1.0,0.184,0.3333,0.7563
53,What is the theory that all images can be built up from?,factual,https://en.wikipedia.org/wiki/Geometry,"['https://en.wikipedia.org/wiki/Image', 'https://en.wikipedia.org/wiki/Image', 'https://en.wikipedia.org/wiki/Geometry', 'https://en.wikipedia.org/wiki/Image', 'https://en.wikipedia.org/wiki/Machine_learning', 'https://en.wikipedia.org/wiki/Photography', 'https://en.wikipedia.org/wiki/Photography', 'https://en.wikipedia.org/wiki/Geometry', 'https://en.wikipedia.org/wiki/Photography', 'https://en.wikipedia.org/wiki/Photography']",unanswerable,"sphere, the cone, and the cylinder",0.5,0.228,0.0,0.6391
54,Which award did Higgs receive in 1984?,comparative,https://en.wikipedia.org/wiki/Peter_Higgs,"['https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/Peter_Higgs']",Rutherford Medal,1981,1.0,0.177,0.0131,0.6331
55,Why did Naipaul leave the publishing house?,inferential,https://en.wikipedia.org/wiki/V._S._Naipaul,"['https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/V._S._Naipaul']",he had been unhappy with the political climate in Britain,a creative slump that lasted several years,1.0,0.33,0.0,0.6955
56,In what year was Berners-Lee awarded the Queen Elizabeth Prize for Engineering?,multi_hop,https://en.wikipedia.org/wiki/Tim_Berners-Lee,"['https://en.wikipedia.org/wiki/Tim_Berners-Lee', 'https://en.wikipedia.org/wiki/Tim_Berners-Lee', 'https://en.wikipedia.org/wiki/Tim_Berners-Lee', 'https://en.wikipedia.org/wiki/List_of_science_and_technology_awards_for_women', 'https://en.wikipedia.org/wiki/Bill_Gates', 'https://en.wikipedia.org/wiki/List_of_science_and_technology_awards_for_women', 'https://en.wikipedia.org/wiki/Barbara_McClintock', 'https://en.wikipedia.org/wiki/Tim_Berners-Lee', 'https://en.wikipedia.org/wiki/Frances_Arnold', 'https://en.wikipedia.org/wiki/Frances_Arnold']",2013,2013,1.0,0.171,0.0065,0.5678
57,What was accepted in April 1911?,factual,https://en.wikipedia.org/wiki/Niels_Bohr,"['https://en.wikipedia.org/wiki/Abolitionism', 'https://en.wikipedia.org/wiki/Peter_Higgs', 'https://en.wikipedia.org/wiki/Charles_Dickens', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/Carte_de_visite', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Heinrich_Ernemann', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Japan', 'https://en.wikipedia.org/wiki/Prison_education']",unanswerable,The thesis,0.0,0.261,0.0,0.661
58,What did he do after he was hospitalised?,comparative,https://en.wikipedia.org/wiki/Vincent_van_Gogh,"['https://en.wikipedia.org/wiki/Bob_Marley', 'https://en.wikipedia.org/wiki/Nelson_Mandela', 'https://en.wikipedia.org/wiki/Franz_Kafka', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Albert_Einstein', 'https://en.wikipedia.org/wiki/Albert_Camus', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Leo_Tolstoy', 'https://en.wikipedia.org/wiki/Detention_of_Roger_George_Youd', 'https://en.wikipedia.org/wiki/Jean-Paul_Sartre']",He died there shortly afterwards,he took the higher-level admission exams,0.0,0.265,0.1667,0.6468
59,Why does India have a low per capita GDP?,inferential,https://en.wikipedia.org/wiki/India,"['https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/United_States', 'https://en.wikipedia.org/wiki/Australia', 'https://en.wikipedia.org/wiki/Singapore', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/Shanghai', 'https://en.wikipedia.org/wiki/Germany']",It is one of the world's fastest-growing economies,India is one of the world's fastest-growing economies,1.0,0.358,0.9,0.9642
60,Who was the founder of the Ottoman Empire?,multi_hop,https://en.wikipedia.org/wiki/Ottoman_Empire,"['https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Ottoman_Empire']",Osman I,Osman I,1.0,0.215,1.0,1.0
61,What is the atomic radius of a diamond crystal?,factual,https://en.wikipedia.org/wiki/Periodic_table,"['https://en.wikipedia.org/wiki/Atom', 'https://en.wikipedia.org/wiki/Atom', 'https://en.wikipedia.org/wiki/Periodic_table', 'https://en.wikipedia.org/wiki/Periodic_table', 'https://en.wikipedia.org/wiki/Atom', 'https://en.wikipedia.org/wiki/Chemistry', 'https://en.wikipedia.org/wiki/Periodic_table', 'https://en.wikipedia.org/wiki/Atom', 'https://en.wikipedia.org/wiki/Periodic_table', 'https://en.wikipedia.org/wiki/Atom']",225 pm,small,0.5,0.19,0.0,0.5019
62,What did Epstein negotiate to secure a UK record contract?,comparative,https://en.wikipedia.org/wiki/The_Beatles,"['https://en.wikipedia.org/wiki/Bill_Gates', 'https://en.wikipedia.org/wiki/The_Beatles', 'https://en.wikipedia.org/wiki/Bill_Gates', 'https://en.wikipedia.org/wiki/The_Beatles', 'https://en.wikipedia.org/wiki/The_Beatles', 'https://en.wikipedia.org/wiki/The_Beatles', 'https://en.wikipedia.org/wiki/Digital_download_class-action_settlements', 'https://en.wikipedia.org/wiki/The_Beatles', 'https://en.wikipedia.org/wiki/Stephen_Hawking', 'https://en.wikipedia.org/wiki/The_Beatles']",unanswerable,an early end to the band's contract,0.5,0.167,0.0,0.6653
63,What is the line that joins their centers of gravity?,inferential,https://en.wikipedia.org/wiki/Gravity,"['https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Basket-handle_arch', 'https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Basket-handle_arch', 'https://en.wikipedia.org/wiki/Basket-handle_arch']",a straight line,gravity,1.0,0.168,0.0,0.7072
64,What is a maser?,multi_hop,https://en.wikipedia.org/wiki/Laser,"['https://en.wikipedia.org/wiki/Laser', 'https://en.wikipedia.org/wiki/Laser', 'https://en.wikipedia.org/wiki/Magnetic_resonance_imaging', 'https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/Magnetic_resonance_imaging', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Egypt', 'https://en.wikipedia.org/wiki/Cuisine_of_Menorca', 'https://en.wikipedia.org/wiki/Electric_motor', 'https://en.wikipedia.org/wiki/Cuisine_of_Menorca']",microwave amplification by stimulated emission of radiation,microwave amplification by stimulated emission of radiation,1.0,0.331,1.0,1.0
65,What was Pauling's first X-ray picture?,factual,https://en.wikipedia.org/wiki/Linus_Pauling,"['https://en.wikipedia.org/wiki/Black_hole', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Linus_Pauling', 'https://en.wikipedia.org/wiki/Imaging', 'https://en.wikipedia.org/wiki/Linus_Pauling', 'https://en.wikipedia.org/wiki/Linus_Pauling', 'https://en.wikipedia.org/wiki/Black_hole', 'https://en.wikipedia.org/wiki/Linus_Pauling', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Rosalind_Franklin']",unanswerable,Astbury's pictures,0.3333,0.225,0.0,0.6445
66,How long did it take Firefly Aerospace's Blue Ghost lunar lander to land?,comparative,https://en.wikipedia.org/wiki/Moon_landing,"['https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/Moon_landing']",14 days,14 days,1.0,0.155,1.0,1.0
67,What is the name of the place where Salvador Dal was born?,inferential,https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD,"['https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD', 'https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD', 'https://en.wikipedia.org/wiki/The_Buddha', 'https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez', 'https://en.wikipedia.org/wiki/Jorge_Luis_Borges', 'https://en.wikipedia.org/wiki/Chinua_Achebe', 'https://en.wikipedia.org/wiki/Nelson_Mandela', 'https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD', 'https://en.wikipedia.org/wiki/Leonardo_da_Vinci', 'https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD']",Carrer Monturiol,Carrer Monturiol,1.0,0.232,1.0,1.0
68,Who did Picasso marry in the summer of 1918?,multi_hop,https://en.wikipedia.org/wiki/Pablo_Picasso,"['https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso', 'https://en.wikipedia.org/wiki/Pablo_Picasso']",Olga Khokhlova,Olga Khokhlova,1.0,0.296,1.0,1.0
69,Who was the chief commander of the troops in Persia?,factual,https://en.wikipedia.org/wiki/Mongol_Empire,"['https://en.wikipedia.org/wiki/Ancient_Greece', 'https://en.wikipedia.org/wiki/Mongol_Empire', 'https://en.wikipedia.org/wiki/Mongol_Empire', 'https://en.wikipedia.org/wiki/Mongol_Empire', 'https://en.wikipedia.org/wiki/Mongol_Empire', 'https://en.wikipedia.org/wiki/Battle_of_Jaktor%C3%B3w', 'https://en.wikipedia.org/wiki/Ancient_Greece', 'https://en.wikipedia.org/wiki/Chetnik_attack_on_the_U%C5%BEice_Republic', 'https://en.wikipedia.org/wiki/Ancient_Greece', 'https://en.wikipedia.org/wiki/Chetnik_attack_on_the_U%C5%BEice_Republic']",Pausanias,Eljigidei,0.5,0.216,0.0,0.6152
70,What is the axiomatic basis of arbitrary algebraic operations?,comparative,https://en.wikipedia.org/wiki/Algebra,"['https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra', 'https://en.wikipedia.org/wiki/Algebra']",algebraic operations,abstract algebra,1.0,0.128,0.5,0.8196
71,"In 1928, India League was established by V. K. Krishna Menon in London to demand total independence from the British rule. This organisation has been described as what?",inferential,https://en.wikipedia.org/wiki/Indian_independence_movement,"['https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Mahatma_Gandhi', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/British_Empire', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/Indian_independence_movement']",the principal organisation promoting Indian nationalism,the principal organisation promoting Indian nationalism,1.0,0.314,1.0,1.0
72,What work became Haber's habilitation thesis?,multi_hop,https://en.wikipedia.org/wiki/Fritz_Haber,"['https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber', 'https://en.wikipedia.org/wiki/Fritz_Haber']",habilitation thesis,pyrolysis of hydrocarbons,1.0,0.259,0.0,0.6408
73,Who was the first Supreme Court Justice of Hispanic?,factual,https://en.wikipedia.org/wiki/Barack_Obama,"['https://en.wikipedia.org/wiki/Barack_Obama', 'https://en.wikipedia.org/wiki/Mexico', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Barack_Obama', 'https://en.wikipedia.org/wiki/United_States', 'https://en.wikipedia.org/wiki/Women%27s_suffrage', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Women%27s_suffrage']",Sonia Sotomayor,Dav,1.0,0.202,0.0131,0.6376
74,What are the most common features of a car?,comparative,https://en.wikipedia.org/wiki/Car,"['https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Sydney', 'https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Car']",(iv),interior lights on the ceiling,1.0,0.125,0.0,0.5436
75,Why did the British government dissolved the company and assumed direct control over India?,inferential,https://en.wikipedia.org/wiki/British_Empire,"['https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/India', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/British_Empire', 'https://en.wikipedia.org/wiki/British_Empire', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/United_Kingdom', 'https://en.wikipedia.org/wiki/Indian_independence_movement', 'https://en.wikipedia.org/wiki/British_Empire', 'https://en.wikipedia.org/wiki/Mahatma_Gandhi']",the British government assumed direct control over India,heavy loss of life on both sides,0.3333,0.257,0.0,0.6588
76,What type of semiconductor material is used to make transistors?,multi_hop,https://en.wikipedia.org/wiki/Transistor,"['https://en.wikipedia.org/wiki/Transistor', 'https://en.wikipedia.org/wiki/Transistor', 'https://en.wikipedia.org/wiki/Transistor', 'https://en.wikipedia.org/wiki/Transistor', 'https://en.wikipedia.org/wiki/Integrated_circuit', 'https://en.wikipedia.org/wiki/Transistor', 'https://en.wikipedia.org/wiki/Integrated_circuit', 'https://en.wikipedia.org/wiki/Transistor', 'https://en.wikipedia.org/wiki/Transistor', 'https://en.wikipedia.org/wiki/Transistor']",unanswerable,(4).,1.0,0.19,0.0,0.5744
77,What is incompatible with classical mechanics and special relativity?,factual,https://en.wikipedia.org/wiki/Theory_of_relativity,"['https://en.wikipedia.org/wiki/Theory_of_relativity', 'https://en.wikipedia.org/wiki/Theory_of_relativity', 'https://en.wikipedia.org/wiki/Theory_of_relativity', 'https://en.wikipedia.org/wiki/Electromagnetism', 'https://en.wikipedia.org/wiki/Physics', 'https://en.wikipedia.org/wiki/Physics', 'https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Theory_of_relativity', 'https://en.wikipedia.org/wiki/Gravity', 'https://en.wikipedia.org/wiki/Quantum_mechanics']",Lorentz transformations,inertial motion,1.0,0.225,0.0,0.7224
78,What did the Jim Crow system help break down?,comparative,https://en.wikipedia.org/wiki/Civil_rights_movement,"['https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/Civil_rights_movement']",unanswerable,people's isolation,1.0,0.139,0.0,0.7005
79,Why did the European Commission claim that Apple's use of a hybrid Double Irish tax arrangement constituted illegal state aid?,inferential,https://en.wikipedia.org/wiki/Apple_Inc.,"['https://en.wikipedia.org/wiki/Apple_Inc.', 'https://en.wikipedia.org/wiki/Apple_Inc.', 'https://en.wikipedia.org/wiki/Apple_Inc.', 'https://en.wikipedia.org/wiki/Apple_Inc.', 'https://en.wikipedia.org/wiki/British_Empire', 'https://en.wikipedia.org/wiki/Microsoft', 'https://en.wikipedia.org/wiki/Microsoft', 'https://en.wikipedia.org/wiki/Apple_Inc.', 'https://en.wikipedia.org/wiki/Google', 'https://en.wikipedia.org/wiki/Apple_Inc.']",the company's offshore tax structure concluded in May 2013,a two-year investigation,1.0,0.348,0.0,0.6522
